Tiempo (s)	Voltaje (V)
1.152000	2.534242
1.153000	2.558452
1.154000	2.574270
1.155000	2.577821
1.156000	2.572010
1.157000	2.558130
1.158000	2.537793
1.159000	2.512614
1.160000	2.489372
1.161000	2.475814
1.162000	2.480979
1.163000	2.490986
1.164000	2.494859
1.165000	2.489372
1.166000	2.476782
1.167000	2.464515
1.168000	2.449021
1.169000	2.427392
1.170000	2.406087
1.171000	2.388978
1.172000	2.381877
1.173000	2.383168
1.174000	2.385428
1.175000	2.388978
1.176000	2.397049
1.177000	2.404796
1.178000	2.413835
1.179000	2.423842
1.180000	2.431589
1.181000	2.435463
1.182000	2.435463
1.183000	2.435140
1.184000	2.436431
1.185000	2.438368
1.186000	2.444501
1.187000	2.459673
1.188000	2.479687
1.189000	2.507772
1.190000	2.541344
1.191000	2.567491
1.192000	2.587505
1.193000	2.598803
1.194000	2.592993
1.195000	2.575238
1.196000	2.556516
1.197000	2.537147
1.198000	2.519393
1.199000	2.514873
1.200000	2.523266
1.201000	2.533596
1.202000	2.540375
1.203000	2.539084
1.204000	2.526494
1.205000	2.505835
1.206000	2.478396
1.207000	2.451603
1.208000	2.428361
1.209000	2.402536
1.210000	2.373161
1.211000	2.354115
1.212000	2.348627
1.213000	2.355406
1.214000	2.370578
1.215000	2.392852
1.216000	2.424810
1.217000	2.466452
1.218000	2.509063
1.219000	2.537470
1.220000	2.550382
1.221000	2.562326
1.222000	2.579112
1.223000	2.599126
1.224000	2.617849
1.225000	2.634312
1.226000	2.637217
1.227000	2.628502
1.228000	2.626242
1.229000	2.653358
1.230000	2.693386
1.231000	2.721147
1.232000	2.727603
1.233000	2.718565
1.234000	2.703070
1.235000	2.683379
1.236000	2.658845
1.237000	2.628179
1.238000	2.597512
1.239000	2.579112
1.240000	2.580726
1.241000	2.589119
1.242000	2.598803
1.243000	2.611393
1.244000	2.622368
1.245000	2.638831
1.246000	2.658200
1.247000	2.680796
1.248000	2.702425
1.249000	2.712754
1.250000	2.701456
1.251000	2.674017
1.252000	2.655617
1.253000	2.657554
1.254000	2.662074
1.255000	2.668530
1.256000	2.675954
1.257000	2.673695
1.258000	2.661428
1.259000	2.632698
1.260000	2.585891
1.261000	2.536824
1.262000	2.496473
1.263000	2.473231
1.264000	2.455800
1.265000	2.440628
1.266000	2.437722
1.267000	2.444824
1.268000	2.453540
1.269000	2.465161
1.270000	2.483561
1.271000	2.522298
1.272000	2.568459
1.273000	2.598480
1.274000	2.607842
1.275000	2.620109
1.276000	2.646579
1.277000	2.687898
1.278000	2.743744
1.279000	2.807014
1.280000	2.855758
1.281000	2.865119
1.282000	2.845428
1.283000	2.820895
1.284000	2.809274
1.285000	2.813147
1.286000	2.818635
1.287000	2.830579
1.288000	2.836712
1.289000	2.837681
1.290000	2.863183
1.291000	2.898369
1.292000	2.913218
1.293000	2.904825
1.294000	2.883197
1.295000	2.848334
1.296000	2.810242
1.297000	2.766986
1.298000	2.710172
1.299000	2.641737
1.300000	2.581694
1.301000	2.540375
1.302000	2.501315
1.303000	2.460642
1.304000	2.422228
1.305000	2.392852
1.306000	2.382845
1.307000	2.424164
1.308000	2.506480
1.309000	2.599449
1.310000	2.677891
1.311000	2.735028
1.312000	2.775702
1.313000	2.802495
1.314000	2.827028
1.315000	2.858986
1.316000	2.890621
1.317000	2.918060
1.318000	2.941625
1.319000	2.963899
1.320000	2.983913
1.321000	2.988432
1.322000	2.958734
1.323000	2.921611
1.324000	2.880291
1.325000	2.822832
1.326000	2.750846
1.327000	2.674017
1.328000	2.605259
1.329000	2.568782
1.330000	2.550705
1.331000	2.533919
1.332000	2.511645
1.333000	2.492922
1.334000	2.485175
1.335000	2.495828
1.336000	2.523912
1.337000	2.560066
1.338000	2.600095
1.339000	2.654326
1.340000	2.730186
1.341000	2.808951
1.342000	2.878677
1.343000	2.959056
1.344000	3.030397
1.345000	3.062032
1.346000	3.057513
1.347000	3.041372
1.348000	3.032334
1.349000	2.998439
1.350000	2.929035
1.351000	2.829288
1.352000	2.740193
1.353000	2.691772
1.354000	2.686607
1.355000	2.700810
1.356000	2.719210
1.357000	2.731800
1.358000	2.735351
1.359000	2.738256
1.360000	2.758916
1.361000	2.794747
1.362000	2.839295
1.363000	2.882228
1.364000	2.920320
1.365000	2.940334
1.366000	2.951955
1.367000	2.969064
1.368000	2.971646
1.369000	2.952923
1.370000	2.918383
1.371000	2.873512
1.372000	2.832193
1.373000	2.805723
1.374000	2.788937
1.375000	2.781835
1.376000	2.784095
1.377000	2.796361
1.378000	2.815084
1.379000	2.817021
1.380000	2.795070
1.381000	2.764404
1.382000	2.738579
1.383000	2.720179
1.384000	2.698874
1.385000	2.678214
1.386000	2.672081
1.387000	2.696937
1.388000	2.748586
1.389000	2.825091
